model,subtype,variant_type,metric_name,metric_value,ci_lower,ci_upper
anthropic/claude-3.7-sonnet,coin_change,W1,VAR,0.8,0.5,1.0
anthropic/claude-3.7-sonnet,coin_change,W2,VAR,0.7,0.4,1.0
anthropic/claude-3.7-sonnet,coin_change,W3,VAR,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,coin_change,W4,VAR,0.7,0.4,1.0
anthropic/claude-3.7-sonnet,coin_change,canonical,VAR,0.7,0.4,1.0
anthropic/claude-3.7-sonnet,shortest_path,W1,VAR,0.6,0.2,1.0
anthropic/claude-3.7-sonnet,shortest_path,W2,VAR,0.2,0.0,0.6
anthropic/claude-3.7-sonnet,shortest_path,W3,VAR,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,shortest_path,W4,VAR,0.2,0.0,0.6
anthropic/claude-3.7-sonnet,shortest_path,canonical,VAR,0.6,0.2,1.0
anthropic/claude-3.7-sonnet,wis,W1,VAR,0.2,0.0,0.6
anthropic/claude-3.7-sonnet,wis,W2,VAR,0.2,0.0,0.6
anthropic/claude-3.7-sonnet,wis,W3,VAR,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,wis,W4,VAR,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,wis,canonical,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,coin_change,W1,VAR,0.1,0.0,0.3
meta-llama/llama-3.1-8b-instruct,coin_change,W2,VAR,0.4,0.1,0.7
meta-llama/llama-3.1-8b-instruct,coin_change,W3,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,coin_change,W4,VAR,0.2,0.0,0.5
meta-llama/llama-3.1-8b-instruct,coin_change,canonical,VAR,0.2,0.0,0.5
meta-llama/llama-3.1-8b-instruct,shortest_path,W1,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,W2,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,W3,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,W4,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,canonical,VAR,0.2,0.0,0.6
meta-llama/llama-3.1-8b-instruct,wis,W1,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,W2,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,W3,VAR,0.2,0.0,0.6
meta-llama/llama-3.1-8b-instruct,wis,W4,VAR,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,canonical,VAR,0.0,0.0,0.0
openai/gpt-4o,coin_change,W1,VAR,0.4,0.1,0.7
openai/gpt-4o,coin_change,W2,VAR,0.6,0.3,0.9
openai/gpt-4o,coin_change,W3,VAR,0.0,0.0,0.0
openai/gpt-4o,coin_change,W4,VAR,0.5,0.2,0.8
openai/gpt-4o,coin_change,canonical,VAR,0.6,0.3,0.9
openai/gpt-4o,shortest_path,W1,VAR,0.2,0.0,0.6
openai/gpt-4o,shortest_path,W2,VAR,0.0,0.0,0.0
openai/gpt-4o,shortest_path,W3,VAR,0.0,0.0,0.0
openai/gpt-4o,shortest_path,W4,VAR,0.0,0.0,0.0
openai/gpt-4o,shortest_path,canonical,VAR,0.2,0.0,0.6
openai/gpt-4o,wis,W1,VAR,0.2,0.0,0.6
openai/gpt-4o,wis,W2,VAR,0.0,0.0,0.0
openai/gpt-4o,wis,W3,VAR,0.0,0.0,0.0
openai/gpt-4o,wis,W4,VAR,0.0,0.0,0.0
openai/gpt-4o,wis,canonical,VAR,0.2,0.0,0.6
anthropic/claude-3.7-sonnet,coin_change,standard,VAR_by_instance_type,0.58,0.44,0.72
anthropic/claude-3.7-sonnet,shortest_path,standard,VAR_by_instance_type,0.32,0.16,0.52
anthropic/claude-3.7-sonnet,wis,standard,VAR_by_instance_type,0.08,0.0,0.2
meta-llama/llama-3.1-8b-instruct,coin_change,standard,VAR_by_instance_type,0.18,0.08,0.3
meta-llama/llama-3.1-8b-instruct,shortest_path,standard,VAR_by_instance_type,0.04,0.0,0.12
meta-llama/llama-3.1-8b-instruct,wis,standard,VAR_by_instance_type,0.04,0.0,0.12
openai/gpt-4o,coin_change,standard,VAR_by_instance_type,0.42,0.28,0.56
openai/gpt-4o,shortest_path,standard,VAR_by_instance_type,0.08,0.0,0.2
openai/gpt-4o,wis,standard,VAR_by_instance_type,0.08,0.0,0.2
anthropic/claude-3.7-sonnet,coin_change,,CSS_incorrect_canonical,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,coin_change,,CSS_correct_canonical,0.6428571428571429,0.42857142857142855,0.75
anthropic/claude-3.7-sonnet,shortest_path,,CSS_incorrect_canonical,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,shortest_path,,CSS_correct_canonical,0.16666666666666666,0.0,0.25
anthropic/claude-3.7-sonnet,wis,,CSS_incorrect_canonical,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,coin_change,,CSS_incorrect_canonical,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,coin_change,,CSS_correct_canonical,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,,CSS_incorrect_canonical,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,,CSS_correct_canonical,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,,CSS_incorrect_canonical,0.0,0.0,0.0
openai/gpt-4o,coin_change,,CSS_incorrect_canonical,0.25,0.0,0.5
openai/gpt-4o,coin_change,,CSS_correct_canonical,0.5,0.25,0.7083333333333334
openai/gpt-4o,shortest_path,,CSS_incorrect_canonical,0.0,0.0,0.0
openai/gpt-4o,shortest_path,,CSS_correct_canonical,0.25,0.25,0.25
openai/gpt-4o,wis,,CSS_incorrect_canonical,0.0,0.0,0.0
openai/gpt-4o,wis,,CSS_correct_canonical,0.25,0.25,0.25
anthropic/claude-3.7-sonnet,coin_change,W2,VRI_W2,0.7,0.4,1.0
anthropic/claude-3.7-sonnet,coin_change,W4,VRI_W4,0.7,0.4,1.0
anthropic/claude-3.7-sonnet,coin_change,,VRI_structural,0.7,,
anthropic/claude-3.7-sonnet,coin_change,W3,VRI_vocabulary,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,coin_change,,VRI_gap,0.7,0.4,1.0
anthropic/claude-3.7-sonnet,shortest_path,W2,VRI_W2,0.2,0.0,0.6
anthropic/claude-3.7-sonnet,shortest_path,W4,VRI_W4,0.2,0.0,0.6
anthropic/claude-3.7-sonnet,shortest_path,,VRI_structural,0.2,,
anthropic/claude-3.7-sonnet,shortest_path,W3,VRI_vocabulary,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,shortest_path,,VRI_gap,0.2,0.0,0.4
anthropic/claude-3.7-sonnet,wis,W2,VRI_W2,0.2,0.0,0.6
anthropic/claude-3.7-sonnet,wis,W4,VRI_W4,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,wis,,VRI_structural,0.1,,
anthropic/claude-3.7-sonnet,wis,W3,VRI_vocabulary,0.0,0.0,0.0
anthropic/claude-3.7-sonnet,wis,,VRI_gap,0.1,0.0,0.3
meta-llama/llama-3.1-8b-instruct,coin_change,W2,VRI_W2,0.4,0.1,0.7
meta-llama/llama-3.1-8b-instruct,coin_change,W4,VRI_W4,0.2,0.0,0.5
meta-llama/llama-3.1-8b-instruct,coin_change,,VRI_structural,0.30000000000000004,,
meta-llama/llama-3.1-8b-instruct,coin_change,W3,VRI_vocabulary,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,coin_change,,VRI_gap,0.30000000000000004,0.05,0.55
meta-llama/llama-3.1-8b-instruct,shortest_path,W2,VRI_W2,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,W4,VRI_W4,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,,VRI_structural,0.0,,
meta-llama/llama-3.1-8b-instruct,shortest_path,W3,VRI_vocabulary,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,shortest_path,,VRI_gap,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,W2,VRI_W2,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,W4,VRI_W4,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,wis,,VRI_structural,0.0,,
meta-llama/llama-3.1-8b-instruct,wis,W3,VRI_vocabulary,0.2,0.0,0.6
meta-llama/llama-3.1-8b-instruct,wis,,VRI_gap,-0.2,-0.6,0.0
openai/gpt-4o,coin_change,W2,VRI_W2,0.6,0.3,0.9
openai/gpt-4o,coin_change,W4,VRI_W4,0.5,0.2,0.8
openai/gpt-4o,coin_change,,VRI_structural,0.55,,
openai/gpt-4o,coin_change,W3,VRI_vocabulary,0.0,0.0,0.0
openai/gpt-4o,coin_change,,VRI_gap,0.55,0.25,0.85
openai/gpt-4o,shortest_path,W2,VRI_W2,0.0,0.0,0.0
openai/gpt-4o,shortest_path,W4,VRI_W4,0.0,0.0,0.0
openai/gpt-4o,shortest_path,,VRI_structural,0.0,,
openai/gpt-4o,shortest_path,W3,VRI_vocabulary,0.0,0.0,0.0
openai/gpt-4o,shortest_path,,VRI_gap,0.0,0.0,0.0
openai/gpt-4o,wis,W2,VRI_W2,0.0,0.0,0.0
openai/gpt-4o,wis,W4,VRI_W4,0.0,0.0,0.0
openai/gpt-4o,wis,,VRI_structural,0.0,,
openai/gpt-4o,wis,W3,VRI_vocabulary,0.0,0.0,0.0
openai/gpt-4o,wis,,VRI_gap,0.0,0.0,0.0
ALL,ALL,canonical,GSS_regression_basic,0.0,,
anthropic/claude-3.7-sonnet,coin_change,W4,Formalism_Gap,0.0,-0.4,0.4
anthropic/claude-3.7-sonnet,shortest_path,W4,Formalism_Gap,-0.39999999999999997,-1.0,0.2
anthropic/claude-3.7-sonnet,wis,W4,Formalism_Gap,0.0,0.0,0.0
meta-llama/llama-3.1-8b-instruct,coin_change,W4,Formalism_Gap,0.0,-0.30000000000000004,0.39999999999999997
meta-llama/llama-3.1-8b-instruct,shortest_path,W4,Formalism_Gap,-0.2,-0.6,0.0
meta-llama/llama-3.1-8b-instruct,wis,W4,Formalism_Gap,0.0,0.0,0.0
openai/gpt-4o,coin_change,W4,Formalism_Gap,-0.09999999999999998,-0.5,0.30000000000000004
openai/gpt-4o,shortest_path,W4,Formalism_Gap,-0.2,-0.6,0.0
openai/gpt-4o,wis,W4,Formalism_Gap,-0.2,-0.6,0.0
anthropic/claude-3.7-sonnet,coin_change,,CFS,0.5333333333333333,0.4000000000000001,0.8000000000000002
anthropic/claude-3.7-sonnet,coin_change,,cfs_valid,True,,
anthropic/claude-3.7-sonnet,shortest_path,,CFS,0.4,0.4,0.4
anthropic/claude-3.7-sonnet,shortest_path,,cfs_valid,True,,
anthropic/claude-3.7-sonnet,wis,,CFS,0.9199999999999999,0.76,1.0
anthropic/claude-3.7-sonnet,wis,,cfs_valid,True,,
meta-llama/llama-3.1-8b-instruct,coin_change,,CFS,0.375,0.32500000000000007,0.4
meta-llama/llama-3.1-8b-instruct,coin_change,,cfs_valid,True,,
meta-llama/llama-3.1-8b-instruct,shortest_path,,CFS,0.35,0.2,0.5
meta-llama/llama-3.1-8b-instruct,shortest_path,,cfs_valid,True,,
meta-llama/llama-3.1-8b-instruct,wis,,CFS,0.32999999999999996,0.21000000000000002,0.48
meta-llama/llama-3.1-8b-instruct,wis,,cfs_valid,True,,
openai/gpt-4o,coin_change,,CFS,0.5499999999999999,0.4,0.7000000000000001
openai/gpt-4o,coin_change,,cfs_valid,True,,
openai/gpt-4o,shortest_path,,CFS,0.4375,0.3125,0.55
openai/gpt-4o,shortest_path,,cfs_valid,True,,
openai/gpt-4o,wis,,CFS,0.75,0.5,0.95
openai/gpt-4o,wis,,cfs_valid,True,,
anthropic/claude-3.7-sonnet,coin_change,canonical,VWC,-0.8085995080826246,,
anthropic/claude-3.7-sonnet,shortest_path,canonical,VWC,0.06375767130633382,,
anthropic/claude-3.7-sonnet,wis,canonical,VWC,,,
meta-llama/llama-3.1-8b-instruct,coin_change,canonical,VWC,-0.3568732135731648,,
meta-llama/llama-3.1-8b-instruct,shortest_path,canonical,VWC,-0.47851014891726434,,
meta-llama/llama-3.1-8b-instruct,wis,canonical,VWC,,,
openai/gpt-4o,coin_change,canonical,VWC,-0.6881023532039755,,
openai/gpt-4o,shortest_path,canonical,VWC,-0.6232502388407515,,
openai/gpt-4o,wis,canonical,VWC,-0.08574929257125441,,
