problem_id,family,subtype,robust_model,collapsed_model,model_pair
BW_203,BW,blocksworld,gemini,claude,claude_vs_gemini
CC_01,ALGO,coin_change,claude,gpt4o,claude_vs_gpt4o
CC_01,ALGO,coin_change,gemini,gpt4o,gpt4o_vs_gemini
CC_02,ALGO,coin_change,claude,gpt4o,claude_vs_gpt4o
CC_02,ALGO,coin_change,claude,llama,claude_vs_llama
CC_02,ALGO,coin_change,gemini,gpt4o,gpt4o_vs_gemini
CC_02,ALGO,coin_change,gemini,llama,llama_vs_gemini
CC_03,ALGO,coin_change,claude,gpt4o,claude_vs_gpt4o
CC_03,ALGO,coin_change,gemini,gpt4o,gpt4o_vs_gemini
CC_05,ALGO,coin_change,claude,gpt4o,claude_vs_gpt4o
CC_05,ALGO,coin_change,gemini,gpt4o,gpt4o_vs_gemini
CC_07,ALGO,coin_change,claude,llama,claude_vs_llama
CC_07,ALGO,coin_change,gemini,llama,llama_vs_gemini
GSM_001,GSM,gsm_symbolic,claude,gpt4o,claude_vs_gpt4o
GSM_001,GSM,gsm_symbolic,claude,llama,claude_vs_llama
GSM_001,GSM,gsm_symbolic,claude,gemini,claude_vs_gemini
GSM_002,GSM,gsm_symbolic,claude,llama,claude_vs_llama
GSM_002,GSM,gsm_symbolic,claude,gemini,claude_vs_gemini
GSM_003,GSM,gsm_symbolic,gemini,claude,claude_vs_gemini
GSM_003,GSM,gsm_symbolic,gemini,gpt4o,gpt4o_vs_gemini
GSM_003,GSM,gsm_symbolic,gemini,llama,llama_vs_gemini
GSM_004,GSM,gsm_symbolic,claude,llama,claude_vs_llama
GSM_004,GSM,gsm_symbolic,claude,gemini,claude_vs_gemini
GSM_004,GSM,gsm_symbolic,gpt4o,llama,gpt4o_vs_llama
GSM_004,GSM,gsm_symbolic,gpt4o,gemini,gpt4o_vs_gemini
GSM_005,GSM,gsm_symbolic,claude,gpt4o,claude_vs_gpt4o
GSM_006,GSM,gsm_symbolic,claude,llama,claude_vs_llama
GSM_006,GSM,gsm_symbolic,claude,gemini,claude_vs_gemini
GSM_006,GSM,gsm_symbolic,gpt4o,llama,gpt4o_vs_llama
GSM_006,GSM,gsm_symbolic,gpt4o,gemini,gpt4o_vs_gemini
GSM_007,GSM,gsm_symbolic,gpt4o,claude,claude_vs_gpt4o
GSM_007,GSM,gsm_symbolic,gpt4o,llama,gpt4o_vs_llama
GSM_007,GSM,gsm_symbolic,gpt4o,gemini,gpt4o_vs_gemini
GSM_008,GSM,gsm_symbolic,claude,gpt4o,claude_vs_gpt4o
GSM_008,GSM,gsm_symbolic,claude,llama,claude_vs_llama
GSM_008,GSM,gsm_symbolic,claude,gemini,claude_vs_gemini
GSM_010,GSM,gsm_symbolic,claude,gpt4o,claude_vs_gpt4o
GSM_010,GSM,gsm_symbolic,claude,llama,claude_vs_llama
GSM_010,GSM,gsm_symbolic,claude,gemini,claude_vs_gemini
GSM_011,GSM,gsm_symbolic,claude,gpt4o,claude_vs_gpt4o
GSM_011,GSM,gsm_symbolic,claude,gemini,claude_vs_gemini
GSM_011,GSM,gsm_symbolic,llama,gpt4o,gpt4o_vs_llama
GSM_011,GSM,gsm_symbolic,llama,gemini,llama_vs_gemini
GSM_014,GSM,gsm_symbolic,claude,gpt4o,claude_vs_gpt4o
GSM_014,GSM,gsm_symbolic,claude,llama,claude_vs_llama
GSM_014,GSM,gsm_symbolic,gemini,gpt4o,gpt4o_vs_gemini
GSM_014,GSM,gsm_symbolic,gemini,llama,llama_vs_gemini
GSM_015,GSM,gsm_symbolic,claude,gpt4o,claude_vs_gpt4o
GSM_015,GSM,gsm_symbolic,claude,llama,claude_vs_llama
GSM_015,GSM,gsm_symbolic,claude,gemini,claude_vs_gemini
GSM_016,GSM,gsm_symbolic,claude,gemini,claude_vs_gemini
GSM_016,GSM,gsm_symbolic,llama,gemini,llama_vs_gemini
GSM_017,GSM,gsm_symbolic,claude,gpt4o,claude_vs_gpt4o
GSM_017,GSM,gsm_symbolic,claude,gemini,claude_vs_gemini
GSM_020,GSM,gsm_symbolic,claude,gpt4o,claude_vs_gpt4o
GSM_020,GSM,gsm_symbolic,claude,llama,claude_vs_llama
GSM_020,GSM,gsm_symbolic,claude,gemini,claude_vs_gemini
GSM_046,GSM,gsm_symbolic,claude,llama,claude_vs_llama
GSM_046,GSM,gsm_symbolic,gemini,llama,llama_vs_gemini
GSM_048,GSM,gsm_symbolic,claude,llama,claude_vs_llama
GSM_048,GSM,gsm_symbolic,gpt4o,llama,gpt4o_vs_llama
GSM_048,GSM,gsm_symbolic,gemini,llama,llama_vs_gemini
GSM_053,GSM,gsm_symbolic,gemini,claude,claude_vs_gemini
GSM_053,GSM,gsm_symbolic,gemini,gpt4o,gpt4o_vs_gemini
GSM_056,GSM,gsm_symbolic,claude,gemini,claude_vs_gemini
GSM_056,GSM,gsm_symbolic,gpt4o,gemini,gpt4o_vs_gemini
GSM_059,GSM,gsm_symbolic,gemini,claude,claude_vs_gemini
GSM_059,GSM,gsm_symbolic,gemini,gpt4o,gpt4o_vs_gemini
GSM_063,GSM,gsm_symbolic,claude,llama,claude_vs_llama
GSM_063,GSM,gsm_symbolic,gpt4o,llama,gpt4o_vs_llama
GSM_063,GSM,gsm_symbolic,gemini,llama,llama_vs_gemini
SP_020,ALGO,shortest_path,gemini,claude,claude_vs_gemini
SP_024,ALGO,shortest_path,gpt4o,claude,claude_vs_gpt4o
SP_034,ALGO,shortest_path,gpt4o,llama,gpt4o_vs_llama
SP_044,ALGO,shortest_path,gpt4o,claude,claude_vs_gpt4o
SP_066,ALGO,shortest_path,gpt4o,llama,gpt4o_vs_llama
SP_068,ALGO,shortest_path,gpt4o,claude,claude_vs_gpt4o
SP_069,ALGO,shortest_path,gpt4o,claude,claude_vs_gpt4o
SP_070,ALGO,shortest_path,gpt4o,claude,claude_vs_gpt4o
